area_fips,industry_code,emp
08000,72,295770
08000,81,86726
08000,92,154900.6666666667
09000,11,5462.666666666667
09000,21,552
09000,22,7248.666666666667
09000,23,66617.33333333333
09000,31-33,163097
09000,42,59736.333333333336
09000,44-45,173299.33333333334
09000,48-49,57747.666666666664
09000,51,34456.666666666664
09000,52,102346
09000,53,21241
09000,54,96117.66666666667
09000,55,33045
09000,56,94200
09000,61,152267.66666666666
09000,62,289211.3333333333
09000,71,33797.333333333336
09000,72,131644.33333333334
09000,81,67060
09000,92,55854.333333333336
10000,11,0
10000,21,0
10000,22,2056
10000,23,24704
10000,31-33,27310
10000,42,11115
10000,44-45,51846
10000,48-49,15996.333333333334
10000,51,3909.3333333333335
10000,52,42250.666666666664
10000,53,5609.666666666667
10000,54,26277
10000,55,8416.666666666666
10000,56,30012.666666666664
10000,61,34847
10000,62,77087
10000,71,11104
10000,72,46592.666666666664
10000,81,12261
10000,92,14080.333333333332
11000,11,38.666666666666664
11000,22,1966.6666666666667
11000,23,15063
11000,31-33,4289.666666666667
11000,42,5196
11000,44-45,23063.333333333336
11000,48-49,11211
11000,51,23561.333333333336
11000,52,17582.666666666668
11000,53,12980
11000,54,125949.66666666667
11000,55,2779
11000,56,47037
11000,61,43836
11000,62,72886.66666666667
11000,71,15978
11000,72,72715
11000,81,74191.66666666667
11000,92,193081.33333333334
12000,11,56140.33333333333
12000,21,4012
12000,22,28647.666666666668
12000,23,567243.3333333333
12000,31-33,384046
12000,42,352515.6666666667
12000,44-45,1096686.3333333333
12000,48-49,354232.3333333334
12000,51,138857
12000,52,392085
12000,53,197959.66666666666
12000,54,596919.3333333333
12000,55,115067
12000,56,683698
12000,61,559792.6666666666
12000,62,1241610
12000,71,246582
12000,72,1009881.3333333334
12000,81,279637.6666666667
12000,92,461756
13000,11,23839.333333333332
13000,21,5349.666666666667
13000,22,19438.666666666668
13000,23,205661
13000,31-33,403184.6666666667
13000,42,217274
13000,44-45,489988.3333333333
13000,48-49,234752.33333333334
13000,51,117237.66666666667
13000,52,171044.3333333333
13000,53,72017.66666666667
13000,54,281985.6666666667
13000,55,90383
13000,56,348264.6666666666
13000,61,383708.6666666667
13000,62,559387.3333333333
13000,71,59507
13000,72,444577.3333333334
13000,81,114036.33333333333
13000,92,239646
15000,11,5547.666666666667
15000,21,237.66666666666666
15000,22,3734.3333333333335
15000,23,37685.666666666664
15000,31-33,20071.666666666664
15000,42,18065.666666666668
15000,44-45,72793
15000,48-49,32806.666666666664
15000,51,9182.666666666668
15000,52,16196
15000,53,13128
15000,54,26629.333333333332
15000,55,9102.666666666666
15000,56,42328.66666666667
15000,61,52356
15000,62,80033
15000,71,16603
15000,72,113907.66666666667
15000,81,27649
15000,92,42196.33333333333
16000,11,26874
16000,21,2518
16000,22,3662.3333333333335
16000,23,53513
16000,31-33,68667
16000,42,30979.333333333332
16000,44-45,87374
16000,48-49,24374
16000,51,9788
16000,52,24838
16000,53,8962.666666666666
16000,54,40647.66666666667
16000,55,7152.666666666667
16000,56,49258.666666666664
16000,61,57410.66666666667
16000,62,108252
16000,71,15714.666666666666
16000,72,74274.66666666667
16000,81,20917.666666666668
16000,92,47626.333333333336
17000,11,20949.666666666668
17000,21,8404.666666666666
17000,22,24750.666666666668
17000,23,244331.3333333333
17000,31-33,587307.6666666666
17000,42,296270
17000,44-45,583644
17000,48-49,323124
17000,51,105779.33333333334
17000,52,300783
17000,53,85823
17000,54,426019
17000,55,87173.66666666667
17000,56,450126
17000,61,483347.3333333333
17000,62,818221.6666666667
17000,71,104828.66666666666
17000,72,537943
17000,81,207737.33333333334
17000,92,265208
18000,11,16409
18000,21,5827.333333333333
18000,22,15726.666666666666
18000,23,150803.33333333334
18000,31-33,539942
18000,42,123426
18000,44-45,313474.3333333333
18000,48-49,156568
18000,51,34963.66666666667
