stateabb,statename,statefips,sector,sectorname,endweek,ic,ic_share_sumic,ic_headline,emp,ic_share_emp,emp_state_total
WA,Washington,53,52,Finance and Insurance,2020-03-14,118.78922698021768,0.008341940096925399,14240,95616.66666666666,0.0012423485478147223,3497852.3333333335
WA,Washington,53,52,Finance and Insurance,2020-03-21,637.818098814774,0.004909729878721058,129909,95616.66666666666,0.0066705745039021165,3497852.3333333335
WA,Washington,53,52,Finance and Insurance,2020-03-28,1112.8807231774658,0.006086337487092988,182849,95616.66666666666,0.011638982637379808,3497852.3333333335
WA,Washington,53,52,Finance and Insurance,2020-04-04,1178.9279751424133,0.006884170550664595,171252,95616.66666666666,0.01232973305012111,3497852.3333333335
WA,Washington,53,53,Real Estate and Rental and Leasing,2020-03-14,277.1748629538412,0.01946452689282593,14240,59808.666666666664,0.0046343595067689395,3497852.3333333335
WA,Washington,53,53,Real Estate and Rental and Leasing,2020-03-21,1615.8058503307607,0.012437982359426681,129909,59808.666666666664,0.0270162493227976,3497852.3333333335
WA,Washington,53,53,Real Estate and Rental and Leasing,2020-03-28,3051.3336582800484,0.01668772406893146,182849,59808.666666666664,0.05101825250989347,3497852.3333333335
WA,Washington,53,53,Real Estate and Rental and Leasing,2020-04-04,2730.3357017089593,0.015943379941308476,171252,59808.666666666664,0.04565117154217827,3497852.3333333335
WA,Washington,53,54,"Professional, Scientific, and Technical Services",2020-03-14,462.71232223722893,0.032493842853737985,14240,214752.33333333334,0.0021546323388208226,3497852.3333333335
WA,Washington,53,54,"Professional, Scientific, and Technical Services",2020-03-21,2382.306548029217,0.01833827177508269,129909,214752.33333333334,0.011093274336309347,3497852.3333333335
WA,Washington,53,54,"Professional, Scientific, and Technical Services",2020-03-28,5057.8024858423705,0.027661089127325667,182849,214752.33333333334,0.023551792929726974,3497852.3333333335
WA,Washington,53,54,"Professional, Scientific, and Technical Services",2020-04-04,5220.628896944589,0.030485068185741412,171252,214752.33333333334,0.024309998480162055,3497852.3333333335
WA,Washington,53,55,Management of Companies and Enterprises,2020-03-14,12.444585683641852,8.739175339636132e-4,14240,45217.666666666664,2.752151227833189e-4,3497852.3333333335
WA,Washington,53,55,Management of Companies and Enterprises,2020-03-21,74.97160108875413,5.771085997794928e-4,129909,45217.666666666664,0.0016580156964185267,3497852.3333333335
WA,Washington,53,55,Management of Companies and Enterprises,2020-03-28,163.00360434316937,8.914656593318497e-4,182849,45217.666666666664,0.0036048654510368967,3497852.3333333335
WA,Washington,53,55,Management of Companies and Enterprises,2020-04-04,319.26835836354223,0.0018643190056965304,171252,45217.666666666664,0.007060699542882404,3497852.3333333335
WA,Washington,53,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-14,977.4656391515055,0.0686422499404147,14240,179102,0.005457591981951656,3497852.3333333335
WA,Washington,53,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-21,3992.5175027563396,0.03073318632855568,129909,179102,0.02229186442784748,3497852.3333333335
WA,Washington,53,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-28,10061.661332837362,0.05502716084221058,182849,179102,0.056178386242684966,3497852.3333333335
WA,Washington,53,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-04-04,10060.50071465562,0.05874676333505956,171252,179102,0.05617190603486069,3497852.3333333335
WA,Washington,53,61,Educational Services,2020-03-14,621.0979582108524,0.043616429649638515,14240,264448.3333333334,0.002348655218892861,3497852.3333333335
WA,Washington,53,61,Educational Services,2020-03-21,5452.785255305954,0.04197388368246968,129909,264448.3333333334,0.020619472947983362,3497852.3333333335
WA,Washington,53,61,Educational Services,2020-03-28,5144.581383118591,0.02813568235603471,182849,264448.3333333334,0.019454013259497152,3497852.3333333335
WA,Washington,53,61,Educational Services,2020-04-04,4204.882527187986,0.024553771793543934,171252,264448.3333333334,0.015900582447187485,3497852.3333333335
WA,Washington,53,62,Health Care and Social Assistance,2020-03-14,970.6776833240644,0.06816556764916183,14240,490614.3333333333,0.0019784943434674714,3497852.3333333335
WA,Washington,53,62,Health Care and Social Assistance,2020-03-21,21150.943339994486,0.16281353362734288,129909,490614.3333333333,0.04311114026426967,3497852.3333333335
WA,Washington,53,62,Health Care and Social Assistance,2020-03-28,23768.03635127595,0.12998723729020092,182849,490614.3333333333,0.04844545855354671,3497852.3333333335
WA,Washington,53,62,Health Care and Social Assistance,2020-04-04,23013.33626100466,0.13438287588468842,171252,490614.3333333333,0.04690718288772239,3497852.3333333335
WA,Washington,53,71,"Arts, Entertainment, and Recreation",2020-03-14,346.1857471994916,0.02431079685389688,14240,82739,0.0041840697518641945,3497852.3333333335
WA,Washington,53,71,"Arts, Entertainment, and Recreation",2020-03-21,8475.1478603914,0.06523911245865491,129909,82739,0.1024323216426522,3497852.3333333335
WA,Washington,53,71,"Arts, Entertainment, and Recreation",2020-03-28,6358.313257184635,0.03477357413595172,182849,82739,0.07684783786587504,3497852.3333333335
WA,Washington,53,71,"Arts, Entertainment, and Recreation",2020-04-04,7995.8986639047125,0.04669083376488866,171252,82739,0.09664002059373104,3497852.3333333335
WA,Washington,53,72,Accommodation and Food Services,2020-03-14,4125.9458171128945,0.28974338603320887,14240,297887,0.01385070787618424,3497852.3333333335
WA,Washington,53,72,Accommodation and Food Services,2020-03-21,46223.90849813947,0.3558175992282249,129909,297887,0.15517262753372746,3497852.3333333335
WA,Washington,53,72,Accommodation and Food Services,2020-03-28,27393.987032060697,0.1498175381438274,182849,297887,0.09196100209831479,3497852.3333333335
