stateabb,statename,statefips,sector,sectorname,endweek,ic,emp,ic_share_emp,ic_share_sumic,ic_headline
AL,Alabama,1,81,Other Services (except Public Administration),2020-03-14,39,47728,8.171304056319141e-4,0.02880354505169867,1819
AL,Alabama,1,81,Other Services (except Public Administration),2020-03-21,309,47728,0.006474187060006705,0.03380374138496882,10892
AL,Alabama,1,81,Other Services (except Public Administration),2020-03-28,2859,47728,0.05990194435132417,0.04810296963068899,80984
AL,Alabama,1,81,Other Services (except Public Administration),2020-04-04,2905,47728,0.060865739188736175,0.04145440015982419,106739
AL,Alabama,1,92,Public Administration,2020-03-14,10,127446.33333333334,7.846439939425484e-5,0.007385524372230428,1819
AL,Alabama,1,92,Public Administration,2020-03-21,85,127446.33333333334,6.669473948511661e-4,0.00929876381139919,10892
AL,Alabama,1,92,Public Administration,2020-03-28,0,127446.33333333334,0,0,80984
AL,Alabama,1,92,Public Administration,2020-04-04,496,127446.33333333334,0.0038918342099550397,0.007077928564293563,106739
KS,Kansas,20,31-33,Manufacturing,2020-03-14,363,167700.33333333334,0.00216457530396481,0.247612551159618,1755
KS,Kansas,20,31-33,Manufacturing,2020-03-21,3506,167700.33333333334,0.020906338886227616,0.16009863464085117,23563
KS,Kansas,20,31-33,Manufacturing,2020-03-28,15544,167700.33333333334,0.09268914194167771,0.31104174170568694,54330
KS,Kansas,20,31-33,Manufacturing,2020-04-04,6818,167700.33333333334,0.040655852403394144,0.14830121372949928,49306
KS,Kansas,20,72,Accommodation and Food Services,2020-03-14,141,114560.33333333333,0.0012307925081689124,0.09618008185538882,1755
KS,Kansas,20,72,Accommodation and Food Services,2020-03-21,7127,114560.33333333333,0.06221176032425418,0.3254486506233161,23563
KS,Kansas,20,72,Accommodation and Food Services,2020-03-28,9130,114560.33333333333,0.07969599716015724,0.1826950014007284,54330
KS,Kansas,20,72,Accommodation and Food Services,2020-04-04,7271,114560.33333333333,0.06346873990706499,0.1581546091268978,49306
KS,Kansas,20,62,Health Care and Social Assistance,2020-03-14,112,209653,5.342160617782717e-4,0.07639836289222374,1755
KS,Kansas,20,62,Health Care and Social Assistance,2020-03-21,2910,209653,0.01388007803370331,0.13288278003561807,23563
KS,Kansas,20,62,Health Care and Social Assistance,2020-03-28,4681,209653,0.02232736951057223,0.09366870772801857,54330
KS,Kansas,20,62,Health Care and Social Assistance,2020-04-04,6409,209653,0.030569560178008423,0.1394048810197068,49306
KS,Kansas,20,44-45,Retail Trade,2020-03-14,95,141609,6.708613153118799e-4,0.06480218281036836,1755
KS,Kansas,20,44-45,Retail Trade,2020-03-21,1240,141609,0.008756505589334012,0.05662359011827024,23563
KS,Kansas,20,44-45,Retail Trade,2020-03-28,4496,141609,0.031749394459391705,0.08996678272701805,54330
KS,Kansas,20,44-45,Retail Trade,2020-04-04,6505,141609,0.045936345853723984,0.14149301779266543,49306
KS,Kansas,20,81,Other Services (except Public Administration),2020-03-14,26,35204,7.385524372230429e-4,0.017735334242837655,1755
KS,Kansas,20,81,Other Services (except Public Administration),2020-03-21,1004,35204,0.0285194864219975,0.045846842321567195,23563
