area_fips,industry_code,emp
15000,1013,20071.666666666664
15000,1021,131626.66666666666
15000,1022,9182.666666666668
15000,1023,29324
15000,1024,77927.66666666667
15000,1025,132389
15000,1026,130510.66666666667
15000,1027,27649
15000,1028,42196.33333333333
16000,1011,29392
16000,1012,53513
16000,1013,68667
16000,1021,146785.66666666666
16000,1022,9788
16000,1023,34017
16000,1024,97652.33333333334
16000,1025,165662.66666666666
16000,1026,90115
16000,1027,20917.666666666668
16000,1028,47626.333333333336
17000,1011,29354.333333333332
17000,1012,244331.3333333333
17000,1013,587307.6666666666
17000,1021,1231110
17000,1022,105779.33333333334
17000,1023,386606
17000,1024,963318.6666666667
17000,1025,1301569
17000,1026,685066.3333333334
17000,1027,207737.33333333334
17000,1028,265208
18000,1011,22236.333333333332
18000,1012,150803.33333333334
18000,1013,539942
18000,1021,609195
18000,1022,34963.66666666667
18000,1023,137791
18000,1024,348217
18000,1025,680698.6666666666
18000,1026,323721
18000,1027,89949
18000,1028,132910
19000,1011,24801
19000,1012,86197.66666666667
19000,1013,227120.66666666666
19000,1021,317771.3333333334
19000,1022,21492.666666666668
19000,1023,110865
19000,1024,142682.3333333333
19000,1025,359418.3333333333
19000,1026,152234
19000,1027,43907
19000,1028,70514.66666666667
20000,1011,19649.666666666668
20000,1012,66016.66666666667
20000,1013,167700.33333333334
20000,1021,270768.3333333333
20000,1022,19934
20000,1023,75125
20000,1024,181537.6666666667
20000,1025,325221.6666666667
20000,1026,138581.33333333334
20000,1027,35204
20000,1028,84896.66666666667
21000,1011,18766.333333333332
21000,1012,83693.33333333333
21000,1013,252788.66666666666
21000,1021,415785.3333333334
21000,1022,24484.333333333332
21000,1023,95434.66666666667
21000,1024,218554.66666666666
21000,1025,423421
21000,1026,209699
21000,1027,47100.333333333336
21000,1028,90869.66666666667
22000,1011,44573
22000,1012,142353.33333333334
22000,1013,137471.66666666666
22000,1021,387600.3333333333
22000,1022,24943
22000,1023,86231
22000,1024,219037
22000,1025,467371.6666666667
